name,episode_number,episode_season,date,country,channel
When Calls the Heart,11,10,08-10-2023,Etats-Unis,Hallmark Channel
4 Estrellas,98,1,10-10-2023,Espagne,TVE
Alexandra Ehle,02,4,10-10-2023,France,France 3
À coeur battant,05,2,10-10-2023,Canada,Radio Canada
Club Soly,05,3,10-10-2023,Canada,Noovo.ca
Demain nous appartient,37,7,10-10-2023,France,TF1
Found,02,1,10-10-2023,Etats-Unis,NBC
Ici tout commence,32,4,10-10-2023,France,TF1
Une Affaire Criminelle,05,2,10-10-2023,Canada,Noovo.ca
4 Estrellas,99,1,11-10-2023,Espagne,TVE
4EVER,01,1,11-10-2023,Etats-Unis,Disney+
4EVER,02,1,11-10-2023,Etats-Unis,Disney+
4EVER,03,1,11-10-2023,Etats-Unis,Disney+
4EVER,04,1,11-10-2023,Etats-Unis,Disney+
4EVER,05,1,11-10-2023,Etats-Unis,Disney+
Aller simple,05,2,11-10-2023,Canada,Noovo.ca
Aller simple,06,2,11-10-2023,Canada,Noovo.ca
American Horror Story,04,12,11-10-2023,Etats-Unis,FX
Archer (2009),08,14,11-10-2023,Etats-Unis,FXX
Bones of Crows,04,1,11-10-2023,Canada,CBC
Children Ruin Everything,03,3,11-10-2023,Canada,CTV
Chucky,02,3,11-10-2023,Etats-Unis,Syfy
Cooper's Bar,01,2,11-10-2023,Etats-Unis,AMC
Cooper's Bar,02,2,11-10-2023,Etats-Unis,AMC
Demain nous appartient,38,7,11-10-2023,France,TF1
Hans River Police,09,1,11-10-2023,Etats-Unis,Disney+
Hans River Police,10,1,11-10-2023,Etats-Unis,Disney+
Hotel Mondial,02,2,11-10-2023,Allemagne,ZDF
Hudson & Rex,02,6,11-10-2023,Canada,Citytv
Ici tout commence,33,4,11-10-2023,France,TF1
Invasion (2021),08,2,11-10-2023,Etats-Unis,Apple TV+
La Mesias,01,1,11-10-2023,Espagne,Moviestar+
La Mesias,02,1,11-10-2023,Espagne,Moviestar+
Magnum P.I. (2018),12,5,11-10-2023,Etats-Unis,NBC
Nada,01,1,11-10-2023,Espagne,Star+
Nada,02,1,11-10-2023,Espagne,Star+
Nada,03,1,11-10-2023,Espagne,Star+
Nada,04,1,11-10-2023,Espagne,Star+
Nada,05,1,11-10-2023,Espagne,Star+
Pacto de Silencio,01,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,02,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,03,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,04,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,05,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,06,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,07,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,08,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,09,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,10,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,11,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,12,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,13,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,14,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,15,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,16,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,17,1,11-10-2023,Etats-Unis,Netflix
Pacto de Silencio,18,1,11-10-2023,Etats-Unis,Netflix
Quantum Leap (2022),02,2,11-10-2023,Etats-Unis,NBC
Robyn Hood,03,1,11-10-2023,Canada,Global
SurrealEstate,02,2,11-10-2023,Etats-Unis,Syfy
The Morning Show,06,3,11-10-2023,Etats-Unis,Apple TV+
The Worst of Evil,06,1,11-10-2023,Etats-Unis,Disney+
The Worst of Evil,07,1,11-10-2023,Etats-Unis,Disney+
Un Si Grand Soleil,28,6,11-10-2023,France,France 2
Young Dylan,06,4,11-10-2023,Etats-Unis,Nickelodeon
All Creatures Great and Small (2020),02,4,12-10-2023,Royaume-Uni,Channel 5
Alphonse,01,1,12-10-2023,Etats-Unis,Prime Video
Alphonse,02,1,12-10-2023,Etats-Unis,Prime Video
Alphonse,03,1,12-10-2023,Etats-Unis,Prime Video
À La Carte,05,2,12-10-2023,Etats-Unis,ALLBLK
Blanca,02,2,12-10-2023,Italie,Rai 1
Cobra (UK),01,3,12-10-2023,Royaume-Uni,Sky1
Cobra (UK),02,3,12-10-2023,Royaume-Uni,Sky1
Cobra (UK),03,3,12-10-2023,Royaume-Uni,Sky1
Cobra (UK),04,3,12-10-2023,Royaume-Uni,Sky1
Cobra (UK),05,3,12-10-2023,Royaume-Uni,Sky1
Cobra (UK),06,3,12-10-2023,Royaume-Uni,Sky1
Demain nous appartient,39,7,12-10-2023,France,TF1
Doom Patrol,07,4,12-10-2023,Etats-Unis,HBO Max
Doom Patrol,08,4,12-10-2023,Etats-Unis,HBO Max
