name,episode_number,episode_season,date,country,channel,episode_url
Heartbeats,01,2,17-11-2023,Suède,TV4,serie-15710-Heartbeats.html
Invincible,03,2,17-11-2023,Etats-Unis,Prime Video,serie-12630-Invincible.html
Lessons In Chemistry,07,1,17-11-2023,Etats-Unis,Apple TV+,serie-15376-Lessons-In-Chemistry.html
Monarch: Legacy of Monsters,01,1,17-11-2023,Etats-Unis,Apple TV+,serie-15603-Monarch-Legacy-of-Monsters.html
Monarch: Legacy of Monsters,02,1,17-11-2023,Etats-Unis,Apple TV+,serie-15603-Monarch-Legacy-of-Monsters.html
NCIS: Sydney,02,1,17-11-2023,Etats-Unis,Paramount+,serie-15620-NCIS-Sydney.html
Ojitos de huevo,01,1,17-11-2023,Etats-Unis,Netflix,serie-15693-Ojitos-de-huevo.html
Sagrada familia,01,2,17-11-2023,Etats-Unis,Netflix,serie-14637-Sagrada-familia.html
Shining Vale,06,2,17-11-2023,Etats-Unis,Starz,serie-13618-Shining-Vale.html
Solsidan,09,8,17-11-2023,Suède,TV4,serie-2482-Solsidan.html
Sort Of,01,3,17-11-2023,Canada,CBC Gem,serie-13163-Sort-Of.html
The Curse (2023),02,1,17-11-2023,Etats-Unis,Showtime on Demand,serie-15656-The-Curse-(2023).html
The Good Ship Murder,06,1,17-11-2023,Royaume-Uni,Channel 5,serie-15666-The-Good-Ship-Murder.html
Transplant,07,4,17-11-2023,Canada,CTV,serie-10635-Transplant.html
All Rise,20,3,18-11-2023,Etats-Unis,OWN,serie-9133-All-Rise.html
Beacon 23,02,1,19-11-2023,Etats-Unis,Epix,serie-15648-Beacon-23.html
Fear the Walking Dead,11,8,19-11-2023,Etats-Unis,AMC,serie-2057-Fear-the-Walking-Dead.html
Fear the Walking Dead,12,8,19-11-2023,Etats-Unis,AMC,serie-2057-Fear-the-Walking-Dead.html
Heartland (CA),08,17,19-11-2023,Canada,CBC,serie-939-Heartland-(CA).html
Krapopolis,09,1,19-11-2023,Etats-Unis,Fox,serie-15101-Krapopolis.html
Les Mystères de l'amour,15,33,19-11-2023,France,TMC,serie-555-Les-Mysteres-de-l-amour.html
Rick and Morty,06,7,19-11-2023,Etats-Unis,Adult Swim,serie-1628-Rick-and-Morty.html
The Gilded Age,04,2,19-11-2023,Etats-Unis,HBO,serie-13620-The-Gilded-Age.html
A Murder at the End of the World,03,1,21-11-2023,Etats-Unis,Hulu,serie-15464-A-Murder-at-the-End-of-the-World.html
Fargo,01,5,21-11-2023,Etats-Unis,FX,serie-1694-Fargo.html
Fargo,02,5,21-11-2023,Etats-Unis,FX,serie-1694-Fargo.html
Found,08,1,21-11-2023,Etats-Unis,NBC,serie-14723-Found.html
